Community Area Name,Community Area Number,Property Description,Property Name,Address,ZIP Code,Phone Number,Management Company,Units,Latitude,Longitude
Belmont Cragin,19,Senior,Belmont Place Apts.,4645 W. Belmont Ave.,60641,773-427-1400,Perlmark Realty Management,110,41.938767,-87.74326301
East Garfield Park,27,Multifamily,East Garfield Park Place,3441 W. Monroe St.,60624,,,25,,
East Garfield Park,27,Multifamily,Homan Square Apartments Phase I,750 S. Homan Ave.,60624,773-722-7320,Realty & Mortgage Co.,50,41.87119717,-87.71084842
Oakland,36,Multifamily,Drexel Street Properties,848 E. 40th St.,60653,312-842-5500,East Lake Management,61,41.82180819,-87.6045465
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3118 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,41.89019948,-87.70473978
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,41.82038154,-87.61438244
West Town,24,Multifamily,North and Talman Family Apts.,2654 W. North Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,30,41.91035449,-87.69432564
Norwood Park,10,Senior,Senior Suites of Norwood Park,5700 N. Harlem Ave.,60631,888-339-2315,Senior Lifestyle,84,41.98466628,-87.80707301
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,42,41.86736961,-87.70066623
Montclare,18,ARO,6602-22 W. Diversey,6602-22 W. Diversey Ave.,60707,872.256.8321,The Brixen,3,41.93104976,-87.79077219
